Number,Name,Call ID,Type,Ring Style,Call Receive Tone,Repeater Slot override
4,KRAP DMR,5155,Group Call,On,None,2
5,JZ10EGG,280001,Private Call,On,None,None
6,JZ10LLB,280002,Private Call,On,None,None
7,JZ13AIV,280003,Private Call,On,None,None
8,JZ13NBM,280004,Private Call,On,None,None
9,JZ13AGU,280005,Private Call,On,None,None
10,JZ09AGV,280006,Private Call,On,None,None
11,JZ02EAB,280007,Private Call,On,None,None
12,JZ14AYH,280008,Private Call,On,None,None
13,JZ02EMY,280009,Private Call,On,None,None
14,JZ10ISO,280010,Private Call,On,None,None
15,JZ10HZR,280011,Private Call,On,None,None
16,JZ10GBZ,280012,Private Call,On,None,None
17,JZ15BW,280013,Private Call,On,None,None
18,JZ30TOA,280014,Private Call,On,None,None
19,JZ13FCH,280015,Private Call,On,None,None
20,JZ02AJF,280016,Private Call,On,None,None
21,JZ29BDT,280017,Private Call,On,None,None
22,JZ13BKQ,280018,Private Call,On,None,None
23,JZ29ACX,280019,Private Call,On,None,None
24,JZ09AGG,280020,Private Call,On,None,None
25,JZ10ARU,280021,Private Call,On,None,None
26,JZ10DSC,280022,Private Call,On,None,None
27,JZ11AAA,280023,Private Call,On,None,None
28,JZ01COZ,280024,Private Call,On,None,None
29,JZ12AXC,280025,Private Call,On,None,None
30,JZ10HJA,280026,Private Call,On,None,None
31,JZ09AMW,280027,Private Call,On,None,None
32,JZ29AP,280028,Private Call,On,None,None
33,JZ11LXJ,280029,Private Call,On,None,None
34,JZ09RAH,280030,Private Call,On,None,None
35,JZ13CKB,280031,Private Call,On,None,None
36,JZ29AAK,280032,Private Call,On,None,None
37,JZ10FAFL,280033,Private Call,On,None,None
38,JZ09AST,280034,Private Call,On,None,None
39,JZ09ACI,280035,Private Call,On,None,None
40,JZ29BS,280036,Private Call,On,None,None
41,JZ29BZY,280037,Private Call,On,None,None
42,JZ29JH,280038,Private Call,On,None,None
43,JZ29DUS,280039,Private Call,On,None,None
44,JZ15SW,280040,Private Call,On,None,None
45,JZ15DAZ,280041,Private Call,On,None,None
46,JZ15AEG,280042,Private Call,On,None,None
47,JZ09NEL,280043,Private Call,On,None,None
48,JZ15DLY,280044,Private Call,On,None,None
49,JZ15DPK,280045,Private Call,On,None,None
50,JZ15DLE,280046,Private Call,On,None,None
51,JZ15DSL,280047,Private Call,On,None,None
52,JZ15DPD,280048,Private Call,On,None,None
53,JZ29SZA,280049,Private Call,On,None,None
54,JZ13HAI,280050,Private Call,On,None,None
55,JZ29AIK,280051,Private Call,On,None,None
56,JZ29BSY,280052,Private Call,On,None,None
57,JZ29CHA,280053,Private Call,On,None,None
58,JZ29AFQ,280054,Private Call,On,None,None
59,JZ30BHZ,280055,Private Call,On,None,None
60,JZ29BZS,280056,Private Call,On,None,None
61,JZ11BTS,280057,Private Call,On,None,None
62,JZ10EKS,280058,Private Call,On,None,None
63,JZ10EDV,280059,Private Call,On,None,None
64,JZ29BOR,280060,Private Call,On,None,None
65,JZ29BSY,280061,Private Call,On,None,None
66,JZ10EEB,280062,Private Call,On,None,None
67,JZ10EML,280063,Private Call,On,None,None
68,JZ29VE,280064,Private Call,On,None,None
69,JZ10HBC,280065,Private Call,On,None,None
70,JZ12AVO,280066,Private Call,On,None,None
71,JZ13DPX,280067,Private Call,On,None,None
72,JZ13BNY,280068,Private Call,On,None,None
73,JZ10ESH,280069,Private Call,On,None,None
74,JZ11WEZ,280070,Private Call,On,None,None
75,JZ29SZE,280071,Private Call,On,None,None
76,JZ29AFP,280072,Private Call,On,None,None
77,JZ18ACK,280073,Private Call,On,None,None
78,JZ10EEI,280074,Private Call,On,None,None
79,JZ04AHU,280075,Private Call,On,None,None
80,JZ13AZL,280076,Private Call,On,None,None
81,JZ12ANT,280077,Private Call,On,None,None
82,JZ29SAS,280078,Private Call,On,None,None
83,JZ04FNE,280079,Private Call,On,None,None
84,JZ04MIB,280080,Private Call,On,None,None
85,JZ13CUZ,280081,Private Call,On,None,None
86,JZ04NTO,280082,Private Call,On,None,None
87,JZ02TGK,280083,Private Call,On,None,None
88,JZ04EAV,280084,Private Call,On,None,None
89,JZ04AKR,280085,Private Call,On,None,None
90,JZ09LNA,280086,Private Call,On,None,None
91,JZ04MZH,280087,Private Call,On,None,None
92,JZ29TAN,280088,Private Call,On,None,None
93,JZ29ER,280089,Private Call,On,None,None
94,JZ04ARO,280090,Private Call,On,None,None
95,JZ04MAK,280091,Private Call,On,None,None
96,JZ04MGF,280092,Private Call,On,None,None
97,JZ04MAG,280093,Private Call,On,None,None
98,JZ02TUU,280094,Private Call,On,None,None
99,JZ09HIA,280095,Private Call,On,None,None
100,JZ04FPI,280096,Private Call,On,None,None
101,JZ04FRT,280097,Private Call,On,None,None
102,JZ23DYP,280098,Private Call,On,None,None
103,JZ23DYV,280099,Private Call,On,None,None
104,JZ23GIO,280100,Private Call,On,None,None
105,JZ04MEN,280101,Private Call,On,None,None
106,JZ04MPG,280102,Private Call,On,None,None
107,JZ04MAT,280103,Private Call,On,None,None
108,JZ04MAB,280104,Private Call,On,None,None
109,JZ13AGL,280105,Private Call,On,None,None
110,JZ02ERT,280106,Private Call,On,None,None
111,JZ29AZU,280107,Private Call,On,None,None
112,JZ04MZZ,280108,Private Call,On,None,None
113,JZ04MTS,280109,Private Call,On,None,None
114,JZ04MSD,280110,Private Call,On,None,None
115,JZ04AIM,280111,Private Call,On,None,None
116,JZ04MKZ,280112,Private Call,On,None,None
117,JZ13BIX,280113,Private Call,On,None,None
118,JZ04AGD,280114,Private Call,On,None,None
119,JZ04AHN,280115,Private Call,On,None,None
120,JZ04ANS,280116,Private Call,On,None,None
121,JZ04BCA,280117,Private Call,On,None,None
122,JZ04BCC,280118,Private Call,On,None,None
123,JZ04BCD,280119,Private Call,On,None,None
124,JZ04BDA,280120,Private Call,On,None,None
125,JZ04BDR,280121,Private Call,On,None,None
126,JZ04BEC,280122,Private Call,On,None,None
127,JZ04BFB,280123,Private Call,On,None,None
128,JZ04MAC,280124,Private Call,On,None,None
129,JZ04MAE,280125,Private Call,On,None,None
130,JZ04MAF,280126,Private Call,On,None,None
131,JZ04MAH,280127,Private Call,On,None,None
132,JZ04MAJ,280128,Private Call,On,None,None
133,JZ04BGY,280129,Private Call,On,None,None
134,JZ04MAO,280130,Private Call,On,None,None
135,JZ04MAP,280131,Private Call,On,None,None
136,JZ04MAQ,280132,Private Call,On,None,None
137,JZ04MAR,280133,Private Call,On,None,None
138,JZ04MAS,280134,Private Call,On,None,None
139,JZ04MAU,280135,Private Call,On,None,None
140,JZ04MAW,280136,Private Call,On,None,None
141,JZ04MBA,280137,Private Call,On,None,None
142,JZ04MBL,280138,Private Call,On,None,None
143,JZ04MBM,280139,Private Call,On,None,None
144,JZ04MBY,280140,Private Call,On,None,None
145,JZ04MCA,280141,Private Call,On,None,None
146,JZ04MCB,280142,Private Call,On,None,None
147,JZ04MCD,280143,Private Call,On,None,None
148,JZ04MCT,280144,Private Call,On,None,None
149,JZ04MCW,280145,Private Call,On,None,None
150,JZ04MDK,280146,Private Call,On,None,None
151,JZ04MDT,280147,Private Call,On,None,None
152,JZ04MEC,280148,Private Call,On,None,None
153,JZ04MES,280149,Private Call,On,None,None
154,JZ04MEU,280150,Private Call,On,None,None
155,JZ04MZA,280151,Private Call,On,None,None
156,JZ04MGX,280152,Private Call,On,None,None
157,JZ04MHP,280153,Private Call,On,None,None
158,JZ04MHS,280154,Private Call,On,None,None
159,JZ04MIW,280155,Private Call,On,None,None
160,JZ04MJB,280156,Private Call,On,None,None
161,JZ04MJH,280157,Private Call,On,None,None
162,JZ04MKK,280158,Private Call,On,None,None
163,JZ04MLE,280159,Private Call,On,None,None
164,JZ04MNH,280160,Private Call,On,None,None
165,JZ04MNS,280161,Private Call,On,None,None
166,JZ04MON,280162,Private Call,On,None,None
167,JZ04MPO,280163,Private Call,On,None,None
168,JZ04MQB,280164,Private Call,On,None,None
169,JZ04MQS,280165,Private Call,On,None,None
170,JZ04MRB,280166,Private Call,On,None,None
171,JZ04MRG,280167,Private Call,On,None,None
172,JZ04MRJ,280168,Private Call,On,None,None
173,JZ04MRN,280169,Private Call,On,None,None
174,JZ04MRO,280170,Private Call,On,None,None
175,JZ04MRP,280171,Private Call,On,None,None
176,JZ04MRV,280172,Private Call,On,None,None
177,JZ04MSB,280173,Private Call,On,None,None
178,JZ04MSR,280174,Private Call,On,None,None
179,JZ04MVL,280175,Private Call,On,None,None
180,JZ04MYD,280176,Private Call,On,None,None
181,JZ04MYS,280177,Private Call,On,None,None
182,JZ04AIO,280178,Private Call,On,None,None
183,JZ04FZZ,280179,Private Call,On,None,None
184,JZ02IOW,280180,Private Call,On,None,None
185,JZ02IBM,280181,Private Call,On,None,None
186,JZ02IBP,280182,Private Call,On,None,None
187,JZ02IBW,280183,Private Call,On,None,None
188,JZ02IBY,280184,Private Call,On,None,None
189,JZ02IDP,280185,Private Call,On,None,None
190,JZ02IDY,280186,Private Call,On,None,None
191,JZ12ACN,280187,Private Call,On,None,None
192,JZ29BCC,280188,Private Call,On,None,None
193,JZ10IBM,280189,Private Call,On,None,None
194,JZ10IAH,280190,Private Call,On,None,None
195,JZ02HFP,280191,Private Call,On,None,None
196,JZ05ENL,280192,Private Call,On,None,None
197,JZ13AHI,280193,Private Call,On,None,None
198,JZ10HPC,280194,Private Call,On,None,None
199,JZ27WTC,280195,Private Call,On,None,None
200,JZ05EGN,280196,Private Call,On,None,None
201,JZ10BYI,280197,Private Call,On,None,None
202,JZ10BTC,280198,Private Call,On,None,None
203,JZ13XSQ,280199,Private Call,On,None,None
204,JZ27AMT,280200,Private Call,On,None,None
205,JZ10BLE,280201,Private Call,On,None,None
206,JZ31BAA,280202,Private Call,On,None,None
207,JZ09ATT,280203,Private Call,On,None,None
208,JZ02BDO,280204,Private Call,On,None,None
209,JZ02UAC,280205,Private Call,On,None,None
210,JZ15DZS,280206,Private Call,On,None,None
211,JZ27AGQ,280207,Private Call,On,None,None
212,JZ04ASX,280208,Private Call,On,None,None
213,JZ04ADC,280209,Private Call,On,None,None
214,JZ10LACR,280210,Private Call,On,None,None
215,JZ13QRK,280211,Private Call,On,None,None
216,JZ05EZO,280212,Private Call,On,None,None
217,JZ13DPL,280213,Private Call,On,None,None
218,JZ13DPL,280213,Private Call,On,None,None
219,JZ10LFG,280214,Private Call,On,None,None
220,JZ10FXM,280216,Private Call,On,None,None
221,JZ04BCF,280217,Private Call,On,None,None
222,JZ02MPT,280218,Private Call,On,None,None
223,JZ28HDX,280219,Private Call,On,None,None
224,JZ10BDH,280220,Private Call,On,None,None
225,JZ23EB,280221,Private Call,On,None,None
226,JZ32UTS,280222,Private Call,On,None,None
227,JZ12APL,280223,Private Call,On,None,None
228,JZ09BIV,280224,Private Call,On,None,None
229,JZ09LYV,280225,Private Call,On,None,None
230,JZ05AJO,280226,Private Call,On,None,None
231,JZ12BFW,280227,Private Call,On,None,None
232,JZ04AFM,280228,Private Call,On,None,None
233,JZ21BRG,280229,Private Call,On,None,None
234,JZ10PCP,280230,Private Call,On,None,None
235,JZ02GAC,280231,Private Call,On,None,None
236,JZ02HOT,280232,Private Call,On,None,None
237,JZ02GHO,280233,Private Call,On,None,None
238,JZ02HAP,280234,Private Call,On,None,None
239,JZ09ALQ,280235,Private Call,On,None,None
240,JZ13VHU,280236,Private Call,On,None,None
241,JZ13AWB,280237,Private Call,On,None,None
242,JZ29AA,280238,Private Call,On,None,None
243,JZ05ABJ,280239,Private Call,On,None,None
